time,accel_x,accel_y,vel_x,vel_y,dis_x,dis_y,ang
0.00,0.0000,-9.8100,5.0000,8.6603,0.0000,20.0000,60.0000
0.00,-0.0250,-9.8350,5.0000,8.6504,0.0050,0.0050,59.9719
0.00,-0.0250,-9.8350,5.0000,8.6406,0.0100,0.0100,59.9438
0.00,-0.0250,-9.8350,4.9999,8.6307,0.0150,0.0150,59.9156
0.00,-0.0250,-9.8350,4.9999,8.6209,0.0200,0.0199,59.8874
0.00,-0.0250,-9.8350,4.9999,8.6111,0.0250,0.0249,59.8591
0.01,-0.0250,-9.8350,4.9999,8.6012,0.0300,0.0298,59.8308
0.01,-0.0250,-9.8350,4.9998,8.5914,0.0350,0.0348,59.8025
0.01,-0.0250,-9.8350,4.9998,8.5816,0.0400,0.0397,59.7741
0.01,-0.0250,-9.8350,4.9998,8.5717,0.0450,0.0446,59.7456
0.01,-0.0250,-9.8350,4.9998,8.5619,0.0500,0.0495,59.7171
0.01,-0.0250,-9.8350,4.9997,8.5521,0.0550,0.0544,59.6885
0.01,-0.0250,-9.8350,4.9997,8.5422,0.0600,0.0593,59.6599
0.01,-0.0250,-9.8350,4.9997,8.5324,0.0650,0.0642,59.6313
0.01,-0.0250,-9.8350,4.9997,8.5226,0.0700,0.0690,59.6025
0.02,-0.0250,-9.8350,4.9996,8.5127,0.0750,0.0739,59.5738
0.02,-0.0250,-9.8350,4.9996,8.5029,0.0800,0.0787,59.5450
0.02,-0.0250,-9.8350,4.9996,8.4931,0.0850,0.0836,59.5161
0.02,-0.0250,-9.8350,4.9996,8.4832,0.0900,0.0884,59.4872
0.02,-0.0250,-9.8350,4.9995,8.4734,0.0950,0.0932,59.4583
0.02,-0.0250,-9.8350,4.9995,8.4636,0.1000,0.0980,59.4293
0.02,-0.0250,-9.8350,4.9995,8.4537,0.1050,0.1028,59.4002
0.02,-0.0250,-9.8350,4.9995,8.4439,0.1100,0.1076,59.3711
0.02,-0.0250,-9.8350,4.9994,8.4340,0.1150,0.1124,59.3419
0.02,-0.0250,-9.8350,4.9994,8.4242,0.1200,0.1172,59.3127
0.02,-0.0250,-9.8350,4.9994,8.4144,0.1250,0.1219,59.2835
0.03,-0.0250,-9.8350,4.9994,8.4045,0.1300,0.1267,59.2542
0.03,-0.0250,-9.8350,4.9993,8.3947,0.1350,0.1314,59.2248
0.03,-0.0250,-9.8350,4.9993,8.3849,0.1400,0.1361,59.1954
0.03,-0.0250,-9.8350,4.9993,8.3750,0.1450,0.1409,59.1659
0.03,-0.0250,-9.8350,4.9993,8.3652,0.1500,0.1456,59.1364
0.03,-0.0250,-9.8350,4.9992,8.3554,0.1550,0.1503,59.1069
0.03,-0.0250,-9.8350,4.9992,8.3455,0.1600,0.1550,59.0773
0.03,-0.0250,-9.8350,4.9992,8.3357,0.1650,0.1596,59.0476
0.03,-0.0250,-9.8350,4.9992,8.3259,0.1700,0.1643,59.0179
0.04,-0.0250,-9.8350,4.9991,8.3160,0.1750,0.1690,58.9881
0.04,-0.0250,-9.8350,4.9991,8.3062,0.1800,0.1736,58.9583
0.04,-0.0250,-9.8350,4.9991,8.2964,0.1850,0.1783,58.9284
0.04,-0.0250,-9.8350,4.9991,8.2865,0.1900,0.1829,58.8985
0.04,-0.0250,-9.8350,4.9990,8.2767,0.1950,0.1875,58.8685
0.04,-0.0250,-9.8350,4.9990,8.2669,0.2000,0.1921,58.8385
0.04,-0.0250,-9.8350,4.9990,8.2570,0.2050,0.1967,58.8084
0.04,-0.0250,-9.8350,4.9990,8.2472,0.2100,0.2013,58.7783
0.04,-0.0250,-9.8350,4.9989,8.2373,0.2150,0.2059,58.7481
0.04,-0.0250,-9.8350,4.9989,8.2275,0.2200,0.2105,58.7178
0.04,-0.0250,-9.8350,4.9989,8.2177,0.2250,0.2150,58.6875
0.05,-0.0250,-9.8350,4.9989,8.2078,0.2300,0.2196,58.6572
0.05,-0.0250,-9.8350,4.9988,8.1980,0.2350,0.2241,58.6268
0.05,-0.0250,-9.8350,4.9988,8.1882,0.2400,0.2287,58.5963
0.05,-0.0250,-9.8350,4.9988,8.1783,0.2450,0.2332,58.5658
0.05,-0.0250,-9.8350,4.9988,8.1685,0.2500,0.2377,58.5353
0.05,-0.0250,-9.8350,4.9987,8.1587,0.2550,0.2422,58.5047
0.05,-0.0250,-9.8350,4.9987,8.1488,0.2600,0.2467,58.4740
0.05,-0.0250,-9.8350,4.9987,8.1390,0.2650,0.2512,58.4433
0.05,-0.0250,-9.8350,4.9987,8.1292,0.2700,0.2557,58.4125
0.06,-0.0250,-9.8350,4.9986,8.1193,0.2750,0.2601,58.3817
0.06,-0.0250,-9.8350,4.9986,8.1095,0.2800,0.2646,58.3508
0.06,-0.0250,-9.8350,4.9986,8.0997,0.2850,0.2690,58.3199
0.06,-0.0250,-9.8350,4.9986,8.0898,0.2900,0.2735,58.2889
0.06,-0.0250,-9.8350,4.9985,8.0800,0.2950,0.2779,58.2578
0.06,-0.0250,-9.8350,4.9985,8.0702,0.3000,0.2823,58.2267
0.06,-0.0250,-9.8350,4.9985,8.0603,0.3050,0.2867,58.1956
0.06,-0.0250,-9.8350,4.9985,8.0505,0.3100,0.2911,58.1643
0.06,-0.0250,-9.8350,4.9984,8.0407,0.3150,0.2955,58.1331
0.06,-0.0250,-9.8350,4.9984,8.0308,0.3199,0.2999,58.1018
0.06,-0.0250,-9.8350,4.9984,8.0210,0.3249,0.3042,58.0704
0.07,-0.0250,-9.8350,4.9984,8.0111,0.3299,0.3086,58.0389
0.07,-0.0250,-9.8350,4.9983,8.0013,0.3349,0.3129,58.0075
0.07,-0.0250,-9.8350,4.9983,7.9915,0.3399,0.3173,57.9759
0.07,-0.0250,-9.8350,4.9983,7.9816,0.3449,0.3216,57.9443
0.07,-0.0250,-9.8350,4.9983,7.9718,0.3499,0.3259,57.9127
0.07,-0.0250,-9.8350,4.9982,7.9620,0.3549,0.3302,57.8809
0.07,-0.0250,-9.8350,4.9982,7.9521,0.3599,0.3345,57.8492
0.07,-0.0250,-9.8350,4.9982,7.9423,0.3649,0.3388,57.8173
0.07,-0.0250,-9.8350,4.9982,7.9325,0.3699,0.3431,57.7855
0.08,-0.0250,-9.8350,4.9981,7.9226,0.3749,0.3473,57.7535
0.08,-0.0250,-9.8350,4.9981,7.9128,0.3799,0.3516,57.7215
0.08,-0.0250,-9.8350,4.9981,7.9030,0.3849,0.3558,57.6895
0.08,-0.0250,-9.8350,4.9981,7.8931,0.3899,0.3601,57.6574
0.08,-0.0250,-9.8350,4.9980,7.8833,0.3949,0.3643,57.6252
0.08,-0.0250,-9.8350,4.9980,7.8735,0.3999,0.3685,57.5930
0.08,-0.0250,-9.8350,4.9980,7.8636,0.4049,0.3727,57.5607
0.08,-0.0250,-9.8350,4.9980,7.8538,0.4099,0.3769,57.5284
0.08,-0.0250,-9.8350,4.9979,7.8440,0.4149,0.3811,57.4960
0.08,-0.0250,-9.8350,4.9979,7.8341,0.4199,0.3853,57.4635
0.08,-0.0250,-9.8350,4.9979,7.8243,0.4249,0.3895,57.4310
0.09,-0.0250,-9.8350,4.9979,7.8144,0.4299,0.3936,57.3984
0.09,-0.0250,-9.8350,4.9978,7.8046,0.4349,0.3978,57.3658
0.09,-0.0250,-9.8350,4.9978,7.7948,0.4399,0.4019,57.3331
0.09,-0.0250,-9.8350,4.9978,7.7849,0.4449,0.4060,57.3003
0.09,-0.0250,-9.8350,4.9978,7.7751,0.4499,0.4102,57.2675
0.09,-0.0250,-9.8350,4.9977,7.7653,0.4549,0.4143,57.2347
0.09,-0.0250,-9.8350,4.9977,7.7554,0.4599,0.4184,57.2018
0.09,-0.0250,-9.8350,4.9977,7.7456,0.4649,0.4225,57.1688
0.09,-0.0250,-9.8350,4.9977,7.7358,0.4699,0.4265,57.1357
0.10,-0.0250,-9.8350,4.9976,7.7259,0.4749,0.4306,57.1026
0.10,-0.0250,-9.8350,4.9976,7.7161,0.4799,0.4347,57.0695
0.10,-0.0250,-9.8350,4.9976,7.7063,0.4849,0.4387,57.0362
0.10,-0.0250,-9.8350,4.9976,7.6964,0.4899,0.4428,57.0030
0.10,-0.0250,-9.8350,4.9975,7.6866,0.4949,0.4468,56.9696
0.10,-0.0250,-9.8350,4.9975,7.6768,0.4999,0.4508,56.9362
0.10,-0.0250,-9.8350,4.9975,7.6669,0.5049,0.4548,56.9028
0.10,-0.0250,-9.8350,4.9975,7.6571,0.5099,0.4588,56.8692
0.10,-0.0250,-9.8350,4.9974,7.6473,0.5149,0.4628,56.8357
0.10,-0.0250,-9.8350,4.9974,7.6374,0.5199,0.4668,56.8020
0.10,-0.0250,-9.8350,4.9974,7.6276,0.5249,0.4708,56.7683
